Shape_Leng;Shape_Area;ADM2_EN;ADM2_PCODE;DATA
1.278015303;0.00088027;Kepulauan Seribu;ID3101;
0.838971351;0.011833671;Kota Jakarta Selatan;ID3171;
1.021113476;0.015089248;Kota Jakarta Timur;ID3172;
0.383758912;0.003912531;Kota Jakarta Pusat;ID3173;
0.590339875;0.010251018;Kota Jakarta Barat;ID3174;
1.143004657;0.011458928;Kota Jakarta Utara;ID3175;
4.450342449;0.244740311;Bogor;ID3201;939
4.031652097;0.340828336;Sukabumi;ID3202;921
4.741141706;0.29407915;Cianjur;ID3203;31
3.093005136;0.143606651;Bandung;ID3204;912
3.477541709;0.253001598;Garut;ID3205;829
3.840103182;0.220800931;Tasikmalaya;ID3206;485
3.130958273;0.130477287;Ciamis;ID3207;709
1.92131293;0.097024787;Kuningan;ID3208;590
2.752827013;0.087382314;Cirebon;ID3209;589
2.511786798;0.109673065;Majalengka;ID3210;389
2.34897316;0.127413472;Sumedang;ID3211;612
3.14883282;0.170289614;Indramayu;ID3212;724
2.72799245;0.177479423;Subang;ID3213;417
1.820240492;0.080856319;Purwakarta;ID3214;174
2.898902537;0.156416864;Karawang;ID3215;655
2.553369012;0.103597395;Bekasi;ID3216;565
3.027562898;0.104475861;Bandung Barat;ID3217;360
2.44371069;0.092866642;Pangandaran;ID3218;611
0.675656605;0.009136696;Kota Bogor;ID3271;428
0.429994255;0.004005335;Kota Sukabumi;ID3272;204
0.832053778;0.013749832;Kota Bandung;ID3273;434
0.417136621;0.003253617;Kota Cirebon;ID3274;265
1.194424825;0.017495265;Kota Bekasi;ID3275;759
1.059924764;0.016325342;Kota Depok;ID3276;536
0.38696075;0.003366308;Kota Cimahi;ID3277;615
0.8551446;0.015062969;Kota Tasikmalaya;ID3278;180
0.737206359;0.010686214;Kota Banjar;ID3279;369
1.542493473;0.004693348;Waduk Cirata;ID3288;245
3.546142388;0.19212088;Cilacap;ID3301;
2.131289943;0.113848219;Banyumas;ID3302;
1.53505408;0.066167437;Purbalingga;ID3303;
2.326237684;0.094114346;Banjarnegara;ID3304;
1.987110152;0.109053422;Kebumen;ID3305;
1.62356312;0.089320184;Purworejo;ID3306;
1.828518305;0.081405045;Wonosobo;ID3307;
1.942685391;0.092673525;Magelang;ID3308;
3.646734871;0.089092372;Boyolali;ID3309;
1.603994072;0.057475425;Klaten;ID3310;
1.600924456;0.040450025;Sukoharjo;ID3311;
2.718401862;0.157670777;Wonogiri;ID3312;
1.962111189;0.065865999;Karanganyar;ID3313;
2.902602415;0.080082676;Sragen;ID3314;
3.311900453;0.166188153;Grobogan;ID3315;
2.580009889;0.159502076;Blora;ID3316;
1.798475111;0.085013464;Rembang;ID3317;
2.568477407;0.129356642;Pati;ID3318;
1.421757522;0.035625891;Kudus;ID3319;
2.996238871;0.083637846;Jepara;ID3320;
2.344541361;0.082018231;Demak;ID3321;
2.967089273;0.082203405;Semarang;ID3322;
1.596770416;0.071470168;Temanggung;ID3323;
2.364552502;0.081959802;Kendal;ID3324;
1.560360989;0.070320236;Batang;ID3325;
1.711586741;0.073056114;Pekalongan;ID3326;
2.132360281;0.093082083;Pemalang;ID3327;
2.091120902;0.081407654;Tegal;ID3328;
3.05717846;0.1435873;Brebes;ID3329;
0.248423381;0.001464178;Kota Magelang;ID3371;
0.356860378;0.003790777;Kota Surakarta;ID3372;
0.402967238;0.004347266;Kota Salatiga;ID3373;
1.237193845;0.031562961;Kota Semarang;ID3374;
0.376560113;0.003733623;Kota Pekalongan;ID3375;
0.27784048;0.003185463;Kota Tegal;ID3376;
1.950834278;0.002434805;Wadung Kedungombo;ID3388;
0.33255935;0.001549309;Hutan;ID3399;
5.769525126;0.227341806;Pandeglang;ID3601;
3.346920076;0.270511717;Lebak;ID3602;
2.288502836;0.083877557;Tangerang;ID3603;
4.317174235;0.119862536;Serang;ID3604;
0.834867363;0.014826514;Kota Tangerang;ID3671;
0.980957356;0.013418262;Kota Cilegon;ID3672;
0.945313922;0.021638021;Kota Serang;ID3673;
0.678728358;0.013434741;Kota Tangerang Selatan;ID3674;
